# set	level	rarity	itemId	name
# Generated from the in-game skill guides via ::dumpui sweep, then
# reviewed per skill. Sorted by set then level. Regenerate, do not edit.
AGILITY	60	EPIC	6516	Asgarnian Ice Dungeon frozen throne tunnel
AGILITY	60	EPIC	6514	Estuary crossing on Mos Le'Harmless
AGILITY	60	EPIC	6514	Pillars in the Wintertodt's Prison
AGILITY	60	EPIC	11849	Seers' Village Rooftop Course
AGILITY	60	EPIC	6514	Stepping stone in the Tombs of Amascut
AGILITY	60	EPIC	4179	Werewolf Agility Course
AGILITY	60	EPIC	6517	Wilderness from the God Wars Dungeon area climb
AGILITY	61	EPIC	6516	Fremennik Slayer Dungeon narrow crevice
AGILITY	61	EPIC	6514	Great Conch stepping stone
AGILITY	61	EPIC	6514	Laguna Aurorae stepping stones
AGILITY	61	EPIC	6517	Slayer Tower medium spiked chain climb
AGILITY	61	EPIC	6517	Vampyrium Rock Climbs
AGILITY	62	EPIC	30038	Colossal Wyrm Advanced Course
AGILITY	62	EPIC	24717	Hallowed Sepulchre (Floor 2)
AGILITY	62	EPIC	6514	Hallowed Sepulchre - Grapple swing
AGILITY	62	EPIC	6517	Mount Karuulm upper cliffside climb
AGILITY	62	EPIC	6514	Stepping stone in the south of Wyrmscraig
AGILITY	62	EPIC	6514	Stepping stones in the Necropolis
AGILITY	63	EPIC	6517	Darkmeyer wall climb
AGILITY	63	EPIC	6514	Forthos Dungeon spiked blades jump
AGILITY	63	EPIC	6517	Taverley dungeon lesser demon fence shortcut
AGILITY	64	EPIC	6517	Rope to the Fossil Island volcano
AGILITY	64	EPIC	6514	Stalker Den stepping stone
AGILITY	64	EPIC	6517	Trollheim Wilderness route
AGILITY	64	EPIC	6516	Vampyrium Forest Crawl
AGILITY	65	EPIC	6514	Revenant Cave jump (easy)
AGILITY	65	EPIC	6517	Temple on the Salve to Morytania shortcut
AGILITY	66	EPIC	6516	Cosmic Temple advanced narrow walkway
AGILITY	66	EPIC	6514	Lumbridge Swamp to the Desert
AGILITY	66	EPIC	6516	Taverley wall shortcut
AGILITY	67	EPIC	6516	Heroes' Guild tunnel
AGILITY	67	EPIC	6521	Yanille Dungeon's rubble climb
AGILITY	68	EPIC	6517	Elven overpass medium cliffside scramble
AGILITY	68	EPIC	6517	Ice Mountain western scramble
AGILITY	69	EPIC	6517	Arceuus essence mine northern scramble
AGILITY	69	EPIC	6514	Mausoleum bridge jump
AGILITY	70	EPIC	6516	Al Kharid Palace southern window
AGILITY	70	EPIC	4550	Caves south of Dorgesh-Kaan
AGILITY	70	EPIC	6515	Cross cave south of Dorgesh-Kaan
AGILITY	70	EPIC	6516	Fossil island hardwood shortcut
AGILITY	70	EPIC	11849	Pollnivneach Rooftop Course
AGILITY	70	EPIC	24736	Ring of Endurance
AGILITY	70	EPIC	6516	Taverley Dungeon shortcuts to blue dragons
AGILITY	71	EPIC	6517	Gu'Tanoth wall climb
AGILITY	71	EPIC	6517	Pollnivneach stepping stone
AGILITY	71	EPIC	6517	Proudspire upper scramble
AGILITY	71	EPIC	6517	Slayer Tower advanced spiked chain climb
AGILITY	72	EPIC	6514	Barrows wall-jump
AGILITY	72	EPIC	6516	Basic Asgarnian Ice Dungeon wyvern tunnel
AGILITY	72	EPIC	6514	Chaos temple Stepping Stone
AGILITY	72	EPIC	24717	Hallowed Sepulchre (Floor 3)
AGILITY	72	EPIC	6518	Stepping stone to the private mining area in Wyrmscraig
AGILITY	72	EPIC	6516	Stronghold Slayer Cave narrow tunnel
AGILITY	73	EPIC	6517	Arceuus essence mine western descent
AGILITY	73	EPIC	6514	Chasm of Fire platforms
AGILITY	73	EPIC	6517	Troll Stronghold wall-climb
AGILITY	73	EPIC	6514	Vampyrium Pillar Jumping
AGILITY	74	EPIC	31134	Fossil Island zipline
AGILITY	74	EPIC	6514	Lava Dragon Isle jump
AGILITY	74	EPIC	6516	Meiyerditch Laboratory tunnels
AGILITY	75	EPIC	6514	Mokhaiotl pit jump
AGILITY	75	EPIC	23962	Prifddinas Agility Course
AGILITY	75	EPIC	6514	Revenant Cave jump (medium)
AGILITY	76	EPIC	6517	Darkfrost cliff scramble
AGILITY	76	EPIC	6514	Island crossing near Zul-Andra
AGILITY	77	EPIC	6516	Wilderness Slayer Dungeon Crevices
AGILITY	78	EPIC	6516	Iorwerth Dungeon northern shortcut
AGILITY	78	EPIC	6519	Vampyrium Rock Slides
AGILITY	79	EPIC	6517	Kharazi Jungle vine climb
AGILITY	79	EPIC	6517	Shilo Village rock climb
AGILITY	80	LEGENDARY	11849	Rellekka Rooftop Course
AGILITY	80	LEGENDARY	6514	Taverley Dungeon spiked blades jump
AGILITY	81	LEGENDARY	6517	Slayer Tower ivy climb
AGILITY	81	LEGENDARY	6516	Waterbirth Dungeon crevice
AGILITY	82	LEGENDARY	6514	Adept Asgarnian Ice Dungeon wyvern tunnel
AGILITY	82	LEGENDARY	24717	Hallowed Sepulchre (Floor 4)
AGILITY	82	LEGENDARY	6514	Lava Maze northern jump
AGILITY	83	LEGENDARY	6517	Chasm of Fire Chain
AGILITY	83	LEGENDARY	6517	Grimstone uneven stone ledges climb
AGILITY	84	LEGENDARY	6516	Crandor rock-climb
AGILITY	84	LEGENDARY	6516	Deepfin Point dungeon crevice
AGILITY	84	LEGENDARY	6516	Iorwerth Dungeon southern shortcut
AGILITY	85	LEGENDARY	6517	Elven overpass advanced cliffside scramble
AGILITY	85	LEGENDARY	6517	Waterbirth Island rock-climb
AGILITY	86	LEGENDARY	6514	Darkmeyer wall jump
AGILITY	86	LEGENDARY	6516	Kalphite Lair shortcut
AGILITY	87	LEGENDARY	6517	Brimhaven Dungeon vine to baby green dragons
AGILITY	88	LEGENDARY	6516	Karuulm Dungeon pipe
AGILITY	89	LEGENDARY	6514	Revenant Cave jump (hard)
AGILITY	90	LEGENDARY	11849	Ardougne Rooftop Course
AGILITY	91	LEGENDARY	6517	Viyeldi Caves cliff climb
AGILITY	92	LEGENDARY	24717	Hallowed Sepulchre (Floor 5)
AGILITY	93	LEGENDARY	6516	Meiyerditch Laboratories advanced shortcut
AGILITY	96	LEGENDARY	6516	Viyeldi caves crevice
AGILITY	99	LEGENDARY	9771	Skillcape
AREAS	30	UNCOMMON	12011	Motherlode Mine
AREAS	43	RARE	13573	Lovakengj Blast Mine
AREAS	50	RARE	21532	Volcanic Mine
AREAS	57	RARE	12011	Motherlode Mine upper area
AREAS	59	RARE	6516	Cave to the Stalker Den
AREAS	60	EPIC	6520	Access the God Wars Dungeon area via the Agility route
AREAS	60	EPIC	447	Mining Guild
AREAS	70	EPIC	11793	Enter the Bandos area of the God Wars Dungeon
AREAS	70	EPIC	6521	Enter the Saradomin area of the God Wars Dungeon
ATTACK	1	COMMON	1205	Bronze weapons
ATTACK	1	COMMON	1203	Iron weapons
ATTACK	5	COMMON	1207	Steel weapons
ATTACK	10	COMMON	1217	Black weapons
ATTACK	10	COMMON	6591	White weapons
ATTACK	20	UNCOMMON	1209	Mithril weapons
ATTACK	30	UNCOMMON	1211	Adamant weapons
ATTACK	40	RARE	25641	Barronite mace
ATTACK	40	RARE	11037	Brine sabre
ATTACK	40	RARE	22398	Ivandis Flail
ATTACK	40	RARE	1213	Rune weapons
ATTACK	50	RARE	24699	Blisterwood
ATTACK	50	RARE	28792	Bone mace
ATTACK	50	RARE	23987	Crystal halberd
ATTACK	50	RARE	21646	Granite longsword
ATTACK	50	RARE	4153	Granite maul
ATTACK	50	RARE	10581	Keris dagger
ATTACK	55	RARE	30957	Earthbound tecpatl
ATTACK	55	RARE	29889	Glacial temotli
ATTACK	55	RARE	29084	Sulphur blades
ATTACK	60	EPIC	30955	Arkan blade
ATTACK	60	EPIC	10887	Barrelchest Anchor
ATTACK	60	EPIC	29577	Burning claws
ATTACK	60	EPIC	27021	Colossal Blade
ATTACK	60	EPIC	33631	Crimson Kisten
ATTACK	60	EPIC	1215	Dragon weapons
ATTACK	60	EPIC	6523	Obsidian melee weapons
ATTACK	60	EPIC	22545	Viggora's Chainmace
ATTACK	65	EPIC	12426	3rd Age weapons
ATTACK	65	EPIC	31248	Belle's Folly
ATTACK	65	EPIC	25979	Keris partisan
ATTACK	65	EPIC	23528	Sarachnis cudgel
ATTACK	65	EPIC	28810	Zombie axe
ATTACK	70	EPIC	13263	Abyssal bludgeon
ATTACK	70	EPIC	4151	Abyssal whip & dagger
ATTACK	70	EPIC	22322	Avernic defender
ATTACK	70	EPIC	4718	Dharok's greataxe
ATTACK	70	EPIC	28997	Dual Macuahuitl
ATTACK	70	EPIC	4726	Guthan's warspear
ATTACK	70	EPIC	11838	Saradomin sword
ATTACK	70	EPIC	4747	Torag's hammers
ATTACK	70	EPIC	27660	Ursine Chainmace
ATTACK	70	EPIC	4755	Verac's flail
ATTACK	70	EPIC	11824	Zamorakian spear
ATTACK	75	EPIC	12006	Abyssal tentacle
ATTACK	75	EPIC	19675	Arclight
ATTACK	75	EPIC	12808	Blessed Saradomin sword
ATTACK	75	EPIC	21015	Dinh's bulwark
ATTACK	75	EPIC	21003	Elder maul
ATTACK	75	EPIC	11808	Godswords
ATTACK	75	EPIC	34027	Hallowfell
ATTACK	75	EPIC	24617	Vesta's blighted longsword
ATTACK	75	EPIC	27690	Voidwaker
ATTACK	77	EPIC	29589	Emberlight
ATTACK	78	EPIC	22978	Dragon hunter lance
ATTACK	80	LEGENDARY	23995	Blade of Saeldor
ATTACK	80	LEGENDARY	22981	Ferocious Gloves
ATTACK	80	LEGENDARY	22324	Ghrazi rapier
ATTACK	80	LEGENDARY	24417	Inquisitor's mace
ATTACK	80	LEGENDARY	29796	Noxious Halberd
ATTACK	80	LEGENDARY	22325	Scythe of Vitur
ATTACK	80	LEGENDARY	28338	Soulreaper axe
ATTACK	80	LEGENDARY	27287	Variants of Keris partisan
ATTACK	82	LEGENDARY	26219	Osmumten's Fang
CONSTRUCTION	1	COMMON	32139	Bronze helm
CONSTRUCTION	1	COMMON	8309	Crude wooden chair
CONSTRUCTION	1	COMMON	8168	Exit portal
CONSTRUCTION	1	COMMON	8170	Garden
CONSTRUCTION	1	COMMON	8096	Low-level plant
CONSTRUCTION	1	COMMON	1978	Mahogany Homes (beginner)
CONSTRUCTION	1	COMMON	8315	Parlour
CONSTRUCTION	1	COMMON	32213	Wooden cargo hold
CONSTRUCTION	1	COMMON	32300	Wooden repair kit
CONSTRUCTION	2	COMMON	8316	Brown rug
CONSTRUCTION	2	COMMON	8322	Torn curtains
CONSTRUCTION	3	COMMON	8325	Clay fireplace
CONSTRUCTION	4	COMMON	8319	Wooden bookcase
CONSTRUCTION	5	COMMON	8236	Cat blanket
CONSTRUCTION	5	COMMON	8169	Decorative rock
CONSTRUCTION	5	COMMON	8216	Firepit
CONSTRUCTION	5	COMMON	8222	Kitchen
CONSTRUCTION	5	COMMON	8173	Tree
CONSTRUCTION	6	COMMON	8097	Mid-level plants
CONSTRUCTION	6	COMMON	32230	Range
CONSTRUCTION	6	COMMON	8223	Wooden shelves 1
CONSTRUCTION	7	COMMON	8239	Beer barrel
CONSTRUCTION	7	COMMON	8230	Pump and drain
CONSTRUCTION	8	COMMON	8310	Wooden chair
CONSTRUCTION	9	COMMON	8233	Wooden larder
CONSTRUCTION	10	COMMON	31671	Crab traps
CONSTRUCTION	10	COMMON	8121	Dining room
CONSTRUCTION	10	COMMON	8174	Nice tree
CONSTRUCTION	10	COMMON	8170	Pond
CONSTRUCTION	10	COMMON	8108	Wooden dining bench
CONSTRUCTION	10	COMMON	8115	Wooden dining table
CONSTRUCTION	11	COMMON	8217	Firepit with hook
CONSTRUCTION	11	COMMON	32214	Oak cargo hold
CONSTRUCTION	12	COMMON	8240	Cider barrel
CONSTRUCTION	12	COMMON	8098	High-level plants
CONSTRUCTION	12	COMMON	23416	STASH units (beginner)
CONSTRUCTION	12	COMMON	8246	Wooden kitchen table
CONSTRUCTION	12	COMMON	8224	Wooden shelves 2
CONSTRUCTION	13	COMMON	8317	Rug
CONSTRUCTION	14	COMMON	32142	Iron helm
CONSTRUCTION	14	COMMON	8311	Rocking chair
CONSTRUCTION	15	COMMON	8171	Imp statue
CONSTRUCTION	15	COMMON	8175	Oak tree
CONSTRUCTION	15	COMMON	8389	Repair bench
CONSTRUCTION	15	COMMON	8384	Tool store 1
CONSTRUCTION	15	COMMON	8379	Workshop
CONSTRUCTION	16	COMMON	8380	Crafting table 1
CONSTRUCTION	16	COMMON	8102	Oak wall decoration
CONSTRUCTION	16	COMMON	8392	Pluming stand
CONSTRUCTION	17	COMMON	8218	Firepit with pot
CONSTRUCTION	17	COMMON	11547	Water pump
CONSTRUCTION	17	COMMON	8375	Wooden workbench
CONSTRUCTION	18	COMMON	8241	Asgarnian Ale barrel
CONSTRUCTION	18	COMMON	8323	Curtains
CONSTRUCTION	19	COMMON	8237	Cat basket
CONSTRUCTION	19	COMMON	11548	Cooking pot
CONSTRUCTION	19	COMMON	8312	Oak chair
CONSTRUCTION	19	COMMON	32301	Oak repair kit
CONSTRUCTION	20	UNCOMMON	8037	Bedroom
CONSTRUCTION	20	UNCOMMON	32196	Flags
CONSTRUCTION	20	UNCOMMON	7730	Mahogany Homes (novice)
CONSTRUCTION	20	UNCOMMON	17	Rick
CONSTRUCTION	20	UNCOMMON	8038	Shoe box
CONSTRUCTION	20	UNCOMMON	32299	Trims
CONSTRUCTION	20	UNCOMMON	8031	Wooden bed
CONSTRUCTION	21	UNCOMMON	32215	Teak cargo hold
CONSTRUCTION	21	UNCOMMON	8045	Wooden shaving stand
CONSTRUCTION	22	UNCOMMON	8109	Oak dining bench
CONSTRUCTION	22	UNCOMMON	8116	Oak dining table
CONSTRUCTION	23	UNCOMMON	8225	Wooden shelves 3
CONSTRUCTION	24	UNCOMMON	11549	Pottery wheel
CONSTRUCTION	24	UNCOMMON	8219	Small oven
CONSTRUCTION	24	UNCOMMON	11645	Spinning wheel
CONSTRUCTION	25	UNCOMMON	8381	Crafting table 2
CONSTRUCTION	25	UNCOMMON	8255	Hall (skill trophies)
CONSTRUCTION	25	UNCOMMON	32231	Keg
CONSTRUCTION	25	UNCOMMON	17	Maid
CONSTRUCTION	25	UNCOMMON	8052	Oak clock
CONSTRUCTION	25	UNCOMMON	8385	Tool store 2
CONSTRUCTION	26	UNCOMMON	8242	Greenman's Ale barrel
CONSTRUCTION	26	UNCOMMON	8313	Oak armchair
CONSTRUCTION	26	UNCOMMON	8099	Rope bell pull
CONSTRUCTION	27	UNCOMMON	25351	League hall
CONSTRUCTION	27	UNCOMMON	8039	Oak chest of drawers
CONSTRUCTION	27	UNCOMMON	8249	Oak staircase
CONSTRUCTION	27	UNCOMMON	8231	Pump and tub
CONSTRUCTION	27	UNCOMMON	20532	STASH units (easy)
CONSTRUCTION	27	UNCOMMON	25351	Trophy pedestal
CONSTRUCTION	28	UNCOMMON	29598	Deadman rug
CONSTRUCTION	28	UNCOMMON	25362	Rug (League hall)
CONSTRUCTION	28	UNCOMMON	8085	Suit of Armour
CONSTRUCTION	28	UNCOMMON	25364	Trailblazer rug
CONSTRUCTION	29	UNCOMMON	8220	Large oven
CONSTRUCTION	29	UNCOMMON	8320	Oak bookcase
CONSTRUCTION	29	UNCOMMON	8046	Oak shaving stand
CONSTRUCTION	30	UNCOMMON	25355	Banner stand
CONSTRUCTION	30	UNCOMMON	21037	Chambers of Xeric - Small storage unit
CONSTRUCTION	30	UNCOMMON	17	Cook
CONSTRUCTION	30	UNCOMMON	8163	Games room
CONSTRUCTION	30	UNCOMMON	8162	Hoop-and-stick game
CONSTRUCTION	30	UNCOMMON	8032	Oak bed
CONSTRUCTION	30	UNCOMMON	2347	Repair Piscarilius fishing cranes
CONSTRUCTION	30	UNCOMMON	32145	Steel helm
CONSTRUCTION	30	UNCOMMON	32302	Teak repair kit
CONSTRUCTION	30	UNCOMMON	8176	Willow tree
CONSTRUCTION	31	UNCOMMON	8110	Carved oak dining bench
CONSTRUCTION	31	UNCOMMON	8117	Carved oak dining table
CONSTRUCTION	31	UNCOMMON	11550	Loom
CONSTRUCTION	32	UNCOMMON	8023	Boxing ring
CONSTRUCTION	32	UNCOMMON	8027	Combat room
CONSTRUCTION	32	UNCOMMON	25359	League statue
CONSTRUCTION	32	UNCOMMON	8247	Oak kitchen table
CONSTRUCTION	32	UNCOMMON	8376	Oak workbench
CONSTRUCTION	32	UNCOMMON	25361	Trailblazer globe
CONSTRUCTION	33	UNCOMMON	8238	Cushioned cat basket
CONSTRUCTION	33	UNCOMMON	8234	Oak larder
CONSTRUCTION	33	UNCOMMON	8326	Stone fireplace
CONSTRUCTION	34	UNCOMMON	8028	Boxing glove rack
CONSTRUCTION	34	UNCOMMON	8382	Crafting table 3
CONSTRUCTION	34	UNCOMMON	8033	Large oak bed
CONSTRUCTION	34	UNCOMMON	25357	Oak outfit stand
CONSTRUCTION	34	UNCOMMON	8165	Oak prize chest
CONSTRUCTION	34	UNCOMMON	8226	Oak shelves 1
CONSTRUCTION	34	UNCOMMON	32224	Salvaging station
CONSTRUCTION	34	UNCOMMON	8221	Steel range
CONSTRUCTION	35	UNCOMMON	22606	Fire of Eternal Light
CONSTRUCTION	35	UNCOMMON	22608	Fire of Nourishment
CONSTRUCTION	35	UNCOMMON	8259	Hall (quest trophies)
CONSTRUCTION	35	UNCOMMON	8086	Small portrait
CONSTRUCTION	35	UNCOMMON	8314	Teak armchair
CONSTRUCTION	35	UNCOMMON	8386	Tool store 3
CONSTRUCTION	35	UNCOMMON	8390	Whetstone
CONSTRUCTION	36	UNCOMMON	8243	Dragon Bitter barrel
CONSTRUCTION	36	UNCOMMON	11599	Oak mounted fish display
CONSTRUCTION	36	UNCOMMON	25353	Oak trophy case
CONSTRUCTION	36	UNCOMMON	8103	Teak wall decoration
CONSTRUCTION	37	UNCOMMON	12710	Grassland pet habitat
CONSTRUCTION	37	UNCOMMON	32236	Inoculation station
CONSTRUCTION	37	UNCOMMON	8156	Lesser magical balance
CONSTRUCTION	37	UNCOMMON	12706	Menagerie
CONSTRUCTION	37	UNCOMMON	8047	Oak dresser
CONSTRUCTION	37	UNCOMMON	12722	Oak pet feeder
CONSTRUCTION	37	UNCOMMON	12704	Oak pet house (3 pets)
CONSTRUCTION	37	UNCOMMON	11551	Pottery oven
CONSTRUCTION	37	UNCOMMON	8100	Teak bell pull
CONSTRUCTION	38	UNCOMMON	12721	Pet list (for one-off pets)
CONSTRUCTION	38	UNCOMMON	8294	Small map
CONSTRUCTION	38	UNCOMMON	8111	Teak dining bench
CONSTRUCTION	38	UNCOMMON	8118	Teak dining table
CONSTRUCTION	38	UNCOMMON	8087	Teak mounted head display
CONSTRUCTION	39	UNCOMMON	8153	Clay attack stone
CONSTRUCTION	39	UNCOMMON	8159	Jester game
CONSTRUCTION	39	UNCOMMON	12715	Oak pet scratching post
CONSTRUCTION	39	UNCOMMON	8040	Oak wardrobe (bedroom)
CONSTRUCTION	40	RARE	17	Butler
CONSTRUCTION	40	RARE	8321	Mahogany bookcase
CONSTRUCTION	40	RARE	8334	Oak lectern
CONSTRUCTION	40	RARE	8324	Opulent curtains
CONSTRUCTION	40	RARE	25611	S.T.A.S.H chart
CONSTRUCTION	40	RARE	8340	Study
CONSTRUCTION	40	RARE	8034	Teak bed
CONSTRUCTION	40	RARE	20634	Tip jar
CONSTRUCTION	41	RARE	8024	Fencing ring
CONSTRUCTION	41	RARE	8341	Globe
CONSTRUCTION	41	RARE	32216	Mahogany cargo hold
CONSTRUCTION	41	RARE	8095	Rune display cases
CONSTRUCTION	41	RARE	8393	Shield easel
CONSTRUCTION	42	RARE	9822	Costume room
CONSTRUCTION	42	RARE	8383	Crafting table 4
CONSTRUCTION	42	RARE	8351	Crystal ball
CONSTRUCTION	42	RARE	8222	Fancy range
CONSTRUCTION	42	RARE	8090	Mounted sword
CONSTRUCTION	42	RARE	9829	Oak wardrobe (costume room)
CONSTRUCTION	42	RARE	20533	STASH units (medium)
CONSTRUCTION	43	RARE	8354	Alchemical chart
CONSTRUCTION	43	RARE	11646	Anvil
CONSTRUCTION	43	RARE	8235	Teak larder
CONSTRUCTION	44	RARE	33142	Ballistic attractor
CONSTRUCTION	44	RARE	8112	Carved teak dining bench
CONSTRUCTION	44	RARE	9823	Oak fancy dress box
CONSTRUCTION	44	RARE	8348	Oak telescope
CONSTRUCTION	44	RARE	8091	Small landscape
CONSTRUCTION	44	RARE	8166	Teak prize chest
CONSTRUCTION	44	RARE	8387	Tool store 4
CONSTRUCTION	44	RARE	8029	Weapons rack
CONSTRUCTION	45	RARE	8119	Carved teak dining table
CONSTRUCTION	45	RARE	8068	Chapel
CONSTRUCTION	45	RARE	32225	Chum station
CONSTRUCTION	45	RARE	25319	Icon of Gnome Child
CONSTRUCTION	45	RARE	8035	Large teak bed
CONSTRUCTION	45	RARE	8177	Maple tree
CONSTRUCTION	45	RARE	8062	Oak altar
CONSTRUCTION	45	RARE	8227	Oak shelves 2
CONSTRUCTION	45	RARE	32220	Rope trawling net
CONSTRUCTION	45	RARE	8070	Steel torches (chapel)
CONSTRUCTION	46	RARE	9826	Oak armour case
CONSTRUCTION	46	RARE	8377	Steel framed workbench
CONSTRUCTION	46	RARE	8048	Teak dresser
CONSTRUCTION	47	RARE	12711	Forest pet habitat
CONSTRUCTION	47	RARE	26269	Gold Sink
CONSTRUCTION	47	RARE	32303	Mahogany repair kit
CONSTRUCTION	47	RARE	32148	Mithril helm
CONSTRUCTION	47	RARE	8283	Mounted Amulet of Glory
CONSTRUCTION	47	RARE	8282	Mounted Anti-Dragon Shield
CONSTRUCTION	47	RARE	8284	Mounted Cape of Legends
CONSTRUCTION	47	RARE	21913	Mounted Mythical Cape
